course_id,topic_id,topic_name,content_id,content_name,display_name,Concepts
345,555,Variables,505,VariableDemo,"Variable Demo","PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, IntDataType:0.5073574225169946, ActualMethodParameter:0.3361040131921593, java.lang.System.out.println:0.46560062245835854, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.14160312593692462, StringLiteral:0.3814588424215749, AddExpression:1.681567028199806, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, java.lang.System.out.print:2.3380831348218836, StringDataType:0.37199435222906685"
345,555,Variables,208,variables2_v2,"Variable Initialization","PublicMethodSpecifier:0.028488537811437533, IntDataType:0.6288564478423063, StringVariable:0.6470522050705252, MultiplyExpression:0.9542425094393249, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.12949407201071567, StringDataType:0.1558878729673943, AddExpression:0.9931605754696945, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, StringInitializationStatement:1.1972805581256194, StringLiteral:0.1598540601849957, PublicClassSpecifier:0.05897785995933788"
345,555,Variables,506,PrintTester,"Print Tester","java.lang.System.out.print:0.979796613911713, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, java.lang.System.out.println:0.5091391640910456, StringLiteral:0.3814588424215749, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, ActualMethodParameter:0.30470510603130574, StringDataType:0.37199435222906685, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, AddExpression:1.681567028199806"
345,555,Variables,207,variables1_v2,"Variable Declaration","PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, IntDataType:0.5073574225169946, StringDataType:0.1558878729673943, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleVariable:1.1317168891575557, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, StringVariable:0.6470522050705252"
345,555,Variables,209,HelloWorld2_v2,HelloWorld,"MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, StringDataType:0.1558878729673943, java.lang.System.out.println:0.19511449636911166, ClassDefinition:0.0, PublicMethodSpecifier:0.028488537811437533, StringInitializationStatement:1.1972805581256194, SimpleAssignmentExpression:0.05426575787152426, ActualMethodParameter:0.10914446942506807, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, StringVariable:0.6470522050705252, StringLiteral:0.1598540601849957"
345,555,Variables,468,JavaTutorial_4_1_5,"Multiple Variables 2","PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, IntDataType:0.5073574225169946, ActualMethodParameter:0.2604508319364623, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.12949407201071567, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, java.lang.System.out.println:0.46560062245835854"
345,555,Variables,504,HelloPrinter,"Hello Printer","VoidDataType:0.025554104472388137, StringLiteral:0.1598540601849957, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, java.lang.System.out.println:0.19511449636911166, StringDataType:0.1558878729673943, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, ActualMethodParameter:0.10914446942506807, ClassDefinition:0.0, MethodDefinition:0.022639365465170848"
345,556,"Primitive Data Types",214,PrimitiveDataTypes_v2,"Primitive Data Types","PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, ByteDataType:1.8962505624616381, IntDataType:0.2996534668351779, DoubleDataType:0.7993405494535817, CharDataType:1.7201593034059568, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.16710822908031134, LongDataType:1.8962505624616381, BooleanDataType:0.9931605754696945, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, ShortDataType:2.197280558125619, FloatDataType:1.7993405494535817, True:1.3843672014827637"
345,557,Constants,216,Constants_v2,Constants,"PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, Constant:2.402794786253313, SimpleAssignmentExpression:0.09187991494111997, ActualMethodParameter:0.18479765068076517, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, ConstantInitializationStatement:3.7203193818895754, DoubleDataType:0.7993405494535817, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, IntDataType:0.2996534668351779, java.lang.System.out.println:0.3303575594137351"
345,557,Constants,217,constant_v2,Constant2,"PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, java.lang.System.out.println:0.3303575594137351, ConstantInvocation:1.7049126232014145, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, ActualMethodParameter:0.18479765068076517, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, Constant:2.402794786253313"
345,558,"Arithmetic Operations",218,arithmetic_v2,"Arithmetic Operations","MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, AddExpression:1.681567028199806, SubtractExpression:1.1760912590556813, ModulusExpression:1.4569178686313755, ClassDefinition:0.0, PublicMethodSpecifier:0.028488537811437533, IntDataType:0.2996534668351779, java.lang.System.out.println:0.5091391640910456, MultiplyExpression:0.9542425094393249, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.1514969433926647, ActualMethodParameter:0.28480571645027714, DivideExpression:1.7201593034059568"
345,558,"Arithmetic Operations",215,TypeCasting_v2,"Type Casting","SimpleAssignmentExpression:0.12949407201071567, IntDataType:0.2996534668351779, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, FloatDataType:1.7993405494535817, ByteDataType:1.8962505624616381, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, DoubleDataType:0.7993405494535817, ExplicitTypeCasting:2.4257604945318167, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448"
345,558,"Arithmetic Operations",221,OperatorExample_v2,Operator,"ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, ModulusExpression:3.0575057426899557, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, IntDataType:0.6288564478423063, java.lang.System.out.println:0.40946967977750703, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.11388278632306903, ActualMethodParameter:0.22905192477560865"
345,558,"Arithmetic Operations",511,Decrement,Decrement,"FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.09187991494111997, PostDecrementExpression:1.4191293077419758, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, java.lang.System.out.println:0.5447127428221304, PreDecrementExpression:2.4983105537896004, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, IntDataType:0.2996534668351779, ActualMethodParameter:0.30470510603130574"
345,558,"Arithmetic Operations",219,increment_v2,Increment,"MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, java.lang.System.out.println:0.5447127428221304, PreIncrementExpression:1.6532125137753437, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, IntDataType:0.2996534668351779, ActualMethodParameter:0.30470510603130574, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.09187991494111997, PostIncrementExpression:0.7907403776916642, ClassDefinition:0.0"
345,558,"Arithmetic Operations",220,MathFunction_v2,"Math Functions","PublicMethodSpecifier:0.028488537811437533, IntDataType:0.2996534668351779, ActualMethodParameter:0.3361040131921593, java.lang.Math.sqrt:2.197280558125619, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.16710822908031134, DoubleDataType:1.9074618457755572, java.lang.Math.pow:2.4983105537896004, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, java.lang.Math.abs:2.197280558125619, java.lang.Math.ceil:3.7203193818895754, java.lang.Math.round:5.242985229092087, PublicClassSpecifier:0.05897785995933788"
345,558,"Arithmetic Operations",512,CompoundAssignment,"Combining Assignment and Arithmetic","PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, IntDataType:0.2996534668351779, java.lang.System.out.println:0.3303575594137351, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.09187991494111997, ActualMethodParameter:0.18479765068076517, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, AddAssignmentExpression:1.3222192947339193, MultiplyAssignmentExpression:2.197280558125619"
345,559,Strings,223,substring_v2,Substring,"PublicMethodSpecifier:0.028488537811437533, StringInitializationStatement:1.1972805581256194, SimpleAssignmentExpression:0.11388278632306903, ObjectMethodInvocation:0.3136191229720017, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, StringVariable:1.0955546166902552, StringLiteral:0.2706564513032853, ActualMethodParameter:0.18479765068076517, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, StringDataType:0.3271482058637069, java.lang.String.substring:3.7203193818895754, StringLiteralMethodInvocation:2.4983105537896004, PublicClassSpecifier:0.05897785995933788"
345,559,Strings,521,StringsParse,"Strings (parse)","PublicMethodSpecifier:0.028488537811437533, IntDataType:0.2996534668351779, ActualMethodParameter:0.2604508319364623, DoubleDataType:0.7993405494535817, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, SimpleAssignmentExpression:0.09187991494111997, StringLiteral:0.2706564513032853, java.lang.Double.parseDouble:2.197280558125619, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, java.lang.Integer.parseInt:2.4983105537896004, StringDataType:0.26394111259823055, java.lang.System.out.println:0.3303575594137351, PublicClassSpecifier:0.05897785995933788"
345,559,Strings,519,StringsCharAt,"Strings (charAt)","StaticMethodSpecifier:0.11809931207799448, StringVariable:0.6470522050705252, StringLiteral:0.1598540601849957, ObjectMethodInvocation:0.3136191229720017, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, StringDataType:0.1558878729673943, CharDataType:1.7201593034059568, ActualMethodParameter:0.18479765068076517, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, StringInitializationStatement:1.1972805581256194, SimpleAssignmentExpression:0.09187991494111997, java.lang.String.charAt:2.4983105537896004, java.lang.System.out.println:0.19511449636911166, FormalMethodParameter:0.07670662691976943"
345,559,Strings,224,string_length_v2,"String Length","ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, StringDataType:0.1558878729673943, IntDataType:0.2996534668351779, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, StringInitializationStatement:1.1972805581256194, SimpleAssignmentExpression:0.09187991494111997, java.lang.String.length:1.7201593034059568, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, StringVariable:0.6470522050705252, StringLiteral:0.1598540601849957"
345,559,Strings,495,StringExample_v2,"String Example","PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, nullInitialization:2.0211892990699383, SimpleAssignmentExpression:0.11388278632306903, java.lang.System.out.println:0.40946967977750703, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, StringVariable:1.3579117089708022, StringLiteral:0.2706564513032853, ActualMethodParameter:0.22905192477560865, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, StringDataType:0.3271482058637069, StringAddition:0.8363963873559003"
345,559,Strings,532,stringEquals,"String Equals","java.lang.String.equals:2.5368602897520725, java.lang.System.out.println:0.3303575594137351, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, StringDataType:0.3271482058637069, BooleanDataType:0.9931605754696945, ObjectMethodInvocation:0.5310033338297274, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, StringInitializationStatement:2.0271722013296305, SimpleAssignmentExpression:0.14160312593692462, SimpleVariable:0.5392691614685069, ActualMethodParameter:0.2604508319364623, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, StringVariable:1.3579117089708022, StringLiteral:0.2706564513032853"
345,559,Strings,222,CreateString_v2,"Creating String","StringInitializationStatement:1.1972805581256194, PublicClassSpecifier:0.05897785995933788, PublicMethodSpecifier:0.028488537811437533, StringVariable:1.3579117089708022, SimpleAssignmentExpression:0.09187991494111997, ActualMethodParameter:0.10914446942506807, FormalMethodParameter:0.07670662691976943, StaticMethodSpecifier:0.11809931207799448, StringDataType:0.3271482058637069, StringCreationStatement:1.4191293077419758, StringLiteral:0.2706564513032853, ClassDefinition:0.0, MethodDefinition:0.022639365465170848, VoidDataType:0.025554104472388137, SimpleVariable:0.5392691614685069, StringConstructorCall:1.4191293077419758"
