course_id,course_name,topic_id,topic_name,content_id,content_name,display_name,Concepts
345,"Java Test (Hung)",555,Variables,253,jVariables5,"String Variables","ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, StringInitializationStatement:1.2481175742155695, StringVariable:0.9872048017595707, StringDataType:0.8351138191076559, SimpleAssignmentExpression:0.02831738727448223, StringLiteral:0.8351138191076559, java.lang.System.out.print:0.8553172051959429, ActualMethodParameter:0.4030195342013126"
345,"Java Test (Hung)",555,Variables,508,jVariable4_rev,"int Variables 4","ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, IntDataType:0.14837283835118278, SimpleAssignmentExpression:0.047945504424613664, MultiplyExpression:0.770996319495907, java.lang.System.out.print:0.8553172051959429, ActualMethodParameter:0.4030195342013126"
345,"Java Test (Hung)",555,Variables,251,jVariables3,"int Variables 3","ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, IntDataType:0.08763138849046424, SimpleAssignmentExpression:0.02831738727448223, java.lang.System.out.print:0.8553172051959429"
345,"Java Test (Hung)",555,Variables,509,jprintlnTest,"println Test","ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, IntDataType:0.08763138849046424, SimpleAssignmentExpression:0.02831738727448223, java.lang.System.out.println:0.8351138191076559, ActualMethodParameter:0.4030195342013126"
345,"Java Test (Hung)",555,Variables,250,jVariables2,"int Variables 2","ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, IntDataType:0.14837283835118278, SimpleAssignmentExpression:0.047945504424613664, MultiplyExpression:0.770996319495907, AddExpression:0.38866138415444546"
345,"Java Test (Hung)",555,Variables,507,jVariable1_rev,"int Variable 1","ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, IntDataType:0.08763138849046424, SimpleAssignmentExpression:0.047945504424613664, AddExpression:0.38866138415444546"
345,"Java Test (Hung)",555,Variables,510,jSimpleVariableTest,"Simple Variable Test","ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, IntDataType:0.14837283835118278, SimpleVariable:0.6524916928930169, SimpleAssignmentExpression:0.047945504424613664, MultiplyExpression:0.770996319495907"
345,"Java Test (Hung)",556,"Primitive Data Types",557,jusingFloat,"Using float","ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, FloatDataType:2.1775364999298623, SimpleAssignmentExpression:0.02831738727448223, AddExpression:0.38866138415444546"
345,"Java Test (Hung)",556,"Primitive Data Types",267,jPrimitive_Float,"Using float","LessExpression:0.38165648258578694, ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, FloatDataType:2.1775364999298623, SimpleAssignmentExpression:0.02831738727448223, ExplicitTypeCasting:1.2481175742155695"
345,"Java Test (Hung)",556,"Primitive Data Types",556,jUsingDouble,"Using Double","ClassDefinition:0.0, PublicClassSpecifier:0.001445240874180953, FormalMethodParameter:0.042403848553087355, MethodDefinition:0.010219165181686028, PublicMethodSpecifier:0.010219165181686028, StaticMethodSpecifier:0.047202731434856086, VoidDataType:0.010219165181686028, IntDataType:0.08763138849046424, SimpleAssignmentExpression:0.047945504424613664, DoubleDataType:0.6723865216099562, AddExpression:0.38866138415444546"
