,"def cookies_needed(num_adults, num_teens, num_children):
    """""" (int, int, int) -> int

    Return the number of cookies needed to feed num_adults adults, num_teens
    teens and num_children children.
    Each adult gets 3 cookies, each teenager gets 5, and each child gets 2.

    >>> cookies_needed(2, 3, 1)
    23
    >>> cookies_needed(4, 5, 2)
    41
    """"""
    return (num_adults * 3) + (num_teens * 5) + (num_children * 2)

 ",Cookies needed,3,"Int:1,Return:1,Str:1,Mult:1,Add:1,arg:1,FunctionDef:1"
,"def is_multiple_of_3(value):
    """""" (int) -> bool

    Return True iff value is an integer multiple of 3.

    >>> is_multiple_of_3(15)
    True
    >>> is_multiple_of_3(7)
    False
    """"""
    return value % 3 == 0
 ",Multiple of 3,3,"Mod:1,Int:1,Return:1,Str:1,Eq:1,arg:1,FunctionDef:1"
,"def is_multiple_of_3(value):
    """""" (int) -> bool

    Return True iff value is an integer multiple of 3.

    >>> is_multiple_of_3(15)
    True
    >>> is_multiple_of_3(7)
    False
    """"""
    return value%3==0
 ",Multiple of a number,3,"Mod:1,Int:1,Return:1,Str:1,Eq:1,arg:1,FunctionDef:1"
,"def total_slices(num_pizzas, slices_per_pizza):
    """""" (int, int) -> int

    Return the total number of slices in num_pizzas pizzas that each have
    slices_per_pizza slices.
    
    >>> total_slices(2, 30)
    60
    >>> total_slices(1, 8)
    8
    """"""
    
    return num_pizzas * slices_per_pizza


# We ordered 2 medium pizzas.
medium_slices = total_slices(2, 8)

# We also ordered 1 extra large pizza.
pieces_per_extra_large = 30
extra_large_slices = total_slices(1, pieces_per_extra_large)

grand_total = medium_slices + extra_large_slices

print(""With 2 mediums and 1 extra large, we will have"", grand_total, ""slices."")
 ",Pizza tracing,3,"Mult:1,Int:3,Return:1,Str:2,arg:1,Add:1,Assign:4,FunctionDef:1,Call:3"
,"def total_slices(num_pizzas, slices_per_pizza):
    """""" (int, int) -> int

    Return the total number of slices in num_pizzas pizzas that each have
    slices_per_pizza slices.
    
    >>> total_slices(2, 30)
    60
    >>> total_slices(1, 8)
    8
    """"""
    return num_pizzas * slices_per_pizza
 ",Pizza slices,3,"arg:1,Mult:1,Return:1,FunctionDef:1,Str:1"
20,"def count_uppercase(s):

    """""" (str) -> int



    Return the number of uppercase letters in s.

    """"""



    #TODO: now complete the function body

    upper_count = 0

    for char in s:

        if s.isupper():

            upper_count += 1

    return upper_count",count_uppercase,4,"Int:2,Str:1,For:1,Add:1,arg:1,AugAssign:1,Attribute:1,Return:1,If:1,Assign:1,FunctionDef:1,Call:1"
73,"def add_underscores(s):

    """"""(str) -> str

    

    Return s with an underscore between each pair of characters



    # TODO: add at least one example

    >>> add_underscore(""abc"")

    a_b_c

    """"""



    # TODO: complete the function body

    new = """"

    for char in s:

        new = new + s + ""_""

    return new[:-1]",add_underscores,4,"USub:1,Int:1,Return:1,Str:3,For:1,Assign:2,Slice:1,arg:1,Add:1,FunctionDef:1"
83,"def upper_lower(s):

    """""" (str) -> bool

    

    Return True if and only if there is at least one alphabetic character in s and the alphabetic characters

    are either all uppercase or all lowercase.

    

    >>> upper_lower('abc')

    True

    >>> upper_lower('abcXYZ')

    False

    >>> upper_lower('XYZ')

    True

    """"""

    

    return s.islower() or s.isupper()",str methods: upper or lower,4,"Attribute:1,Return:1,Str:1,Or:1,arg:1,FunctionDef:1,Call:1"
84,"CHILD = 'child'

ADULT = 'adult'

SENIOR = 'senior'



def overdue_fees(days_late, age_group):

    """""" (int, str) -> number

    

    Return the fees for a book that is days_late days late for a borrower

    in the age group age_group.

    

    >>> overdue_fees(2, SENIOR) # 2 days late, SENIOR borrower

    0.5

    >>> overdue_fees(5, ADULT) # 5 days late, ADULT borrower

    10

    """"""

    if days_late < 4:

        cost_per_day = 1

    elif days_late <= 6:

        cost_per_day = 2

    else:

        cost_per_day = 3

    fees = days_late * cost_per_day

    if age_group == CHILD:

        fees = fees / 2

    elif age_group == SENIOR:

        fees = fees / 4

    return fees",if statement,4,"Int:7,Str:4,Div:2,Mult:1,arg:1,If:4,Lt:1,Return:1,LtE:1,Eq:2,Assign:9,FunctionDef:1"
,"def count_non_digits(s):
    """""" (str) -> int

    Return the number of non-digits in s.

    >>> count_non_digits('abc12d')
    4
    >>> count_non_digits('135')
    0
    >>> count_non_digits('A.4')
    2
    """"""
    count=0
    for item in s:
        if not item.isdigit():
            count+=1
    return count

 ",Count non-digits,4,"Not:1,Int:2,Str:1,For:1,Add:1,arg:1,AugAssign:1,Attribute:1,Return:1,If:1,Assign:1,FunctionDef:1,Call:1"
