2,"def cube_volume(side_length):
  '''(number) -> number
  >>> cube_volume(3)
  27
  >>> cube_volume(2)
  8
  '''
  return side_length ** 3
",cube.py,1,"Pow:1,Str:1,arg:1,Int:1,FunctionDef:1,Return:1"
2,"3 + 8
2 * 8
2*16
2 ** 3
5 / 2
5 // 2
8 / 2
8 // 2
type(1)
type(1.0)
type('1.0')
a = 3
b = 5
a + b
c = '3'
d = '5'
c + d
a = 4.5
type(a)
int(a)
type(a)
x = 37
x
print(x)
x
y = x - 2
x
y
x = 20
x
y
a = 5
type(a)
a = 5.0
type(a)
a = a + 3
a
type(a)
a = a + 1
a
a = int(a)
a",day2_shell_example.py,1,"Sub:1,Add:5,Pow:1,Str:3,Int:17,Float:3,Div:2,Mult:2,FloorDiv:2,Call:11,Assign:13"
2,"print(4 + 5)
4 + 5
def f(x):
  return x ** 2
f(8)
y = 4
f(y)
f(2 + 1)
z = f(9)
z
type(4.5)
def add_one(x):
  return x + 1
add_one(4)
x = 9
x = x + add_one(x)
x
x = x + 1
x
q
def do_something(x):
  q = 8
  return q
do_something(4)
do_something(5)
do_somethig(15)
do_something(20)
q # no! q is local to do_something
cube_volume(1)
print(8 + 3)
8 + 3
4
print(4)
def f(x):
  return x ** 2
f(3)
f(1)
f(-1)
f(0)
f(1.0)
y = f(4)
y
type(4.5)
def add_one(x):
  return x + 1
add_one(4)
add_one(0)
add_one(3)
x = 2
x = x + add_one(x)
x
x = x + 1
x
cube_volume(2)
add_one(2)
pi
import math
math.pi
ceil
math.ceil(4.5)
math.ceil(4)
math.ceil(2.1)
x
x = x + add_one(x)
x
def plus_one(num):
  return num + 1
add_one(8)
q = 10
add_one(q)",day3_shell_example.py,1,"Attribute:4,Import:1,Int:39,Float:5,alias:1,Call:34,Add:13,Pow:2,arg:6,USub:1,FunctionDef:6,Assign:12,Return:6"
2,"True
type(True)
False
2 < 8
8 < 2
9 >= 9
9 > 9
4 != 4
4 == 4
a = 3
a
a == 3
a != 3
b = (a != 3)
b
not False
not True
a = True
not a
not (2 < 8)
not not True
True and False
False and True
False and False
True and True
False or False
True or False
True or True
6 % 2
7 % 2
6 % 2 == 0",shell.day4.py,2,"Int:14,And:4,True:10,Not:5,NotEq:3,GtE:1,Eq:3,Call:1,Mod:3,Or:3,False:7,Lt:3,Gt:1,Assign:3"
2,"def f():
  return 9
f()
def first(a):
  a = 8
  return a
first(10)
first(2)
a = 20
a
first(a)
a
a = 20
first(a)
def f(x):
  return x + 2
  return x + 3
f(10)
result = f(10)
result
def g(x):
  print(x + 2)
  print(x + 3)
g(10)
result = g(10)
result
print(result)
a = print(10)
print(a)
def f4():
  print(5)
  return 5
x = f4()
x
def f5():
  return 5
  print(5)
x = f5()
x
def no_ret():
  print(3)
no_ret()
x = no_ret()
x",shell.day5.py,2,"Add:4,arg:3,Int:20,FunctionDef:7,Assign:9,Call:21,Return:6"
2,"def is_shorter(s1, s2):
    '''(str, str) -> bool
    Return True if the first string is shorter than the second; false otherwise.
    
    >>> is_shorter("""", ""cat"")
    True
    >>> is_shorter(""kitten"", ""cat"")
    False
    >>> is_shorter(""cat"", ""dog"")
    False
    '''
    
    return len(s1) < len(s2)
    # After day 2: modify this so that it returns the shorter string
",day1.is_shorter.py,3,"Str:1,arg:1,Lt:1,Return:1,FunctionDef:1,Call:1"
2,"s = input(""Enter PH value: "")
if len(s) > 0:
    ph = float(s)
    if ph < 7.0:
        print(ph, 'is acidic.')
    elif ph > 7.0:
        print(ph, 'is basic.')
    else:
        print(ph, 'is neutral.')
else:
    print('No pH value was given!')
",day2.ph.py,3,"Str:5,Int:1,Float:2,Lt:1,If:3,Gt:2,Call:7,Assign:2"
2,"# Given a server's response time:
# return ""server down"" if there was no response (response time is none)
# return ""server slow"" if the response takes longer than 5000 ms
# return ""server okay"" if it returns a fast response_time

def server_status(response_time):
    # Complete the docstring and code for this function!
    if response_time == null:
     return ""server down""
    if response_time > 5000:
     return ""server slow""
    else:
     return ""server okay""",day2.server_status.py,3,"Str:3,arg:1,Int:1,FunctionDef:1,If:2,Gt:1,Eq:1,Return:3"
2,"def is_shorter(s1, s2):
    '''(str, str) -> str
    Return the shorter of the two provided strings.
    
    >>> is_shorter("""", ""cat"")
    ''
    >>> is_shorter(""kitten"", ""cat"")
    'cat'
    >>> is_shorter(""cat"", ""dog"")
    'dog'
    '''
    
    if len(s1) < len(s2):
        return s1
    else:
        return s2",day2.shorter.py,3,"Str:1,arg:1,Lt:1,If:1,Call:1,FunctionDef:1,Return:2"
2,"def can_vote(age):
    """""" (int) -> bool

    Return True iff age is legal voting age of at least 18 years.

    >>> can_vote(16)
    False
    >>> can_vote(21)
    True
    """"""

    # The following three blocks of code are equivalent, but the last is
    # the best.

    # Block 1: needless if statement
    # if age < 18:
    #     return False
    # else:
    #     return True

    # Block 2: okay, but why not change the condition?
    # return not (age < 18)

    # Block 3: simplest condition
    return age >= 18",day3.can_vote.py,3,"Str:1,arg:1,Int:1,FunctionDef:1,GtE:1,Return:1"
